sender,scenario_type,density,attack_type,sendTime,rcvTime,pos_x,pos_y,speed,is_attack,attack_label,speed_kmh,latency
veh_31869,Highway,High density,Time Delay,25420211523377,25420212837594,216291.00794183894,449996.9847150422,15.188260050024361,0,Normal,54.6777361800877,1314217
veh_3724,Urban,Low density,Random Position Offset,11775227373493,11775228445579,214447.33342670774,452234.56196863257,11.876223924515914,0,Normal,42.754406128257294,1072086
veh_27095,Highway,High density,DoS Attack,25204100786516,25204102153084,216358.73949729386,450130.47313353926,0.000272641424703166,1,Ataque,0.0009815091289313977,1366568
veh_2529,Highway,Low density,Random Position Offset,7297453049793,7297454942206,216437.5649739208,450048.60396357265,22.18894613954132,0,Normal,79.88020610234875,1892413
veh_27095,Highway,High density,DoS Attack,25236434119850,25236435808550,216315.2974596771,450057.1559224753,0.04400614009229892,1,Ataque,0.1584221043322761,1688700
veh_28317,Highway,High density,Time Delay,25413411309968,25413413040662,216284.05699575864,450008.3424102186,0.08405111943831106,0,Normal,0.30258402997791983,1730694
veh_3319,Highway,Low density,Random Position Offset,10002220617597,10002221797479,216438.1517461012,450008.0758720404,20.934121967809688,0,Normal,75.36283908411488,1179882
veh_3724,Urban,Low density,Random Position Offset,11754227373493,11754228735978,214480.31707479566,452118.7303578787,11.607303251081843,0,Normal,41.78629170389463,1362485
veh_31102,Highway,High density,DoS Attack,25221484207377,25221485842228,216286.63962063155,449962.8115353813,17.210758983427787,0,Normal,61.958732340340035,1634851
veh_25305,Highway,High density,Time Delay,25428491293746,25428493019217,216174.84842047456,450001.8767027603,0.5012598393832537,1,Ataque,1.8045354217797134,1725471
veh_29940,Highway,High density,Sybil,25419161555019,25419163041882,216370.98673023348,450140.7093761845,0.25247713986492454,0,Normal,0.9089177035137284,1486863
veh_2627,Urban,Low density,Time Delay,7683004153635,7683005114007,213024.62491717076,451140.87369688286,12.475208304852488,0,Normal,44.91074989746896,960372
veh_3981,Urban,Low density,Sybil,12726424993743,12726426123247,213017.5309449982,451141.5095404827,11.659454379124998,0,Normal,41.974035764849994,1129504
veh_31078,Highway,High density,DoS Attack,25217337306789,25217338654093,216301.1320646917,449935.09062816313,0.0009691432664591053,0,Normal,0.003488915759252779,1347304
veh_30907,Highway,High density,DoS Attack,25211465708752,25211467563216,216444.85316584373,450012.1585995852,54.94524868608207,0,Normal,197.80289526989546,1854464
veh_28064,Highway,High density,DoS Attack,25213318868241,25213320618424,216310.14667737624,450051.8205825445,7.118150877156305,0,Normal,25.6253431577627,1750183
veh_28788,Highway,High density,Time Delay,25458263804528,25458264781010,216413.0725878141,450042.5588941711,43.040301904580566,0,Normal,154.94508685649004,976482
veh_28017,Highway,High density,Time Delay,25205465162022,25205466782879,216208.10289776884,449981.4252796161,0.0,0,Normal,0.0,1620857
veh_3688,Highway,Low density,Random Position Offset,11520235061350,11520236213304,216443.92642129524,449835.34680928255,11.618129607235762,0,Normal,41.82526658604874,1151954
veh_4635,Urban,Low density,Random Position Offset,14318414118460,14318415199900,213090.8979854873,451146.9609216608,12.173565121137633,0,Normal,43.82483443609548,1081440
veh_2979,Highway,Low density,Random Position Offset,8733481872494,8733483696345,216434.53623557073,449853.35827964015,12.675619998481713,0,Normal,45.632231994534166,1823851
veh_3058,Urban,Low density,Time Delay,9458213553879,9458214939316,213822.87673930128,450490.78981776134,14.26616234489655,0,Normal,51.35818444162758,1385437
veh_4107,Urban,Low density,Random Position Offset,12747051747150,12747052782832,213763.8301368964,450551.60744878557,12.224660873851276,0,Normal,44.008779145864594,1035682
veh_29046,Highway,High density,DoS Attack,25214068838174,25214069871558,216385.08305692393,450254.98028657766,0.0,0,Normal,0.0,1033384
